,0
0,0.9999999891741737
1,1.796391058767632e-07
2,0.9999999952910201
3,0.9067317254120358
4,0.3289802345227386
5,2.2575680042171602e-05
6,0.9999999943790338
7,0.00045763922524370837
8,3.855331126663235e-05
9,1.3479830729691942e-07
10,0.7119977797560912
11,1.3747853488516427e-07
12,0.9999999712702792
13,1.3524893899552572e-07
14,1.03372561125748e-07
15,0.9999999472539283
16,0.5575534957894897
17,0.0026310421091351377
18,0.999999964584105
19,1.7725158766437094e-07
20,0.0019773849620712256
21,4.786877441857583e-07
22,0.9999999892405398
23,0.31580211446329554
24,0.999999953705227
25,0.001977385195436742
26,8.145623825138683e-08
27,0.0012083320394586819
28,0.9999999698052959
29,1.2815391636902685e-07
