,0
0,0.9999999916515063
1,1.0690462324360255e-07
2,9.220434881873574e-08
3,2.6519467622496485e-06
4,0.9999999584728549
5,0.9999999483157198
6,0.9999999928165604
7,1.559838773363748e-07
8,1.1245566335271646e-07
9,6.942588657714179e-08
10,0.9999999894673808
11,0.9999999376125552
12,7.279461239403264e-08
13,7.685011820732184e-08
14,0.9999999805574138
15,1.0938230258671733e-05
16,6.735598674252102e-08
17,2.5029876790587753e-07
18,6.968223808884223e-08
19,0.9999996430382664
20,0.11628433361723987
21,0.9999999810267419
22,0.9999999636077963
23,5.841154987892436e-07
24,0.9999999635155796
25,1.2545106070738388e-07
26,6.678690047425942e-08
27,3.5630836172775666e-07
28,7.014476349876604e-08
29,0.8837004706946998
