,0
0,0.8810080989799194
1,0.8810080989749415
2,0.8810080989799188
3,0.8621551371497799
4,0.8795837305488161
5,0.8810080989797642
6,0.8810080989797415
7,0.881008098979551
8,0.8810080989798054
9,0.7465861566090187
10,0.8810080989798001
11,0.8810080989798275
12,0.8810078331839292
13,0.8810080940224239
14,0.5688243795280613
15,3.3191528592540088e-06
16,0.8810039669904943
17,0.881008053002515
18,0.8810080989799545
19,0.8810071866197736
20,0.862151803099124
21,0.5688243795280512
22,0.5108807486377535
23,0.8632038447326642
24,0.36986158706004485
25,0.8810080989749348
26,0.8810039669907258
27,0.8810080530025545
28,0.7465857812238592
29,0.8632028939433122
